Blocking_status,first_name,last_name,Seller_Id,Phone_no,E-mail,Admin_verification_status,Joining_date,Order_recieved,Order_placed,Total_sales,Sellers_address,City,State,Pincode
0,Bobbye,Rhym,937123,2477426899,rbobbye@webdriver.com,0,24-06-16,65,38,8149144,30 W 80th St #1995,San Carlos,Uttar Pradesh,959896
0,Micaela,Rhymes,261638,5220111713,rmicaela@webdriver.com,0,27-01-17,66,33,5086516,20932 Hedley St,Concord,Kerala,922529
1,Tamar,Hoogland,967413,7572803073,htamar@webdriver.com,0,05-09-17,67,47,9316711,2737 Pistorio Rd #9230,London,Andhra Pradesh,453746
0,Moon,Parlato,461441,3239812271,pmoon@webdriver.com,0,23-02-18,67,40,1336404,74989 Brandon St,Wellsville,Gujarat,130440
0,Laurel,Reitler,573386,2309645231,rlaurel@webdriver.com,1,17-04-18,67,44,8736988,6 Kains Ave,Baltimore,Uttarakhand,554422
0,Delisa,Crupi,321679,1316121571,cdelisa@webdriver.com,0,05-12-18,57,32,1342229,47565 W Grand Ave,Newark,West Bengal,263444
0,Viva,Toelkes,196098,2646663220,tviva@webdriver.com,0,27-12-16,75,36,6182077,4284 Dorigo Ln,Chicago,West Bengal,852561
0,Elza,Lipke,562839,1243711065,lelza@webdriver.com,0,10-12-16,80,40,7965766,6794 Lake Dr E,Newark,Odisha,180817
0,Devorah,Chickering,344649,2284007817,cdevorah@webdriver.com,1,09-01-18,68,47,3124448,31 Douglas Blvd #950,Clovis,Maharashtra,528960
1,Timothy,Mulqueen,661942,1419077609,mtimothy@webdriver.com,1,19-10-16,62,45,4067213,44 W 4th St,Staten Island,Maharashtra,466879
1,Arlette,Honeywell,898780,1075905197,harlette@webdriver.com,1,31-01-19,80,49,5956633,11279 Loytan St,Jacksonville,Rajasthan,590195
1,Dominque,Dickerson,861099,6375411672,ddominque@webdriver.com,0,05-07-17,69,44,8139208,69 Marquette Ave,Hayward,Maharashtra,657006
1,Lettie,Isenhower,767487,6189549278,ilettie@webdriver.com,1,26-03-17,71,36,3864013,70 W Main St,Beachwood,Karnataka,215749
1,Myra,Munns,532031,4690527541,mmyra@webdriver.com,1,29-11-18,73,31,7978553,461 Prospect Pl #316,Euless,Gujarat,709766
0,Stephaine,Barfield,466909,6703145123,bstephaine@webdriver.com,0,25-08-19,74,41,3510028,47154 Whipple Ave Nw,Gardena,Madhya Pradesh,731616
0,Lai,Gato,242075,4508183636,glai@webdriver.com,1,10-06-19,57,37,8951713,37 Alabama Ave,Evanston,Uttar Pradesh,808034
1,Stephen,Emigh,757765,1180920969,estephen@webdriver.com,1,07-05-18,62,31,9344203,3777 E Richmond St #900,Akron,West Bengal,216009
1,Tyra,Shields,444979,2248241873,styra@webdriver.com,1,27-06-19,72,30,4114347,3 Fort Worth Ave,Philadelphia,Uttar Pradesh,664461
0,Tammara,Wardrip,175848,7817974230,wtammara@webdriver.com,1,29-10-18,71,48,3667069,4800 Black Horse Pike,Burlingame,Maharashtra,127050
1,Cory,Gibes,278386,1519559290,gcory@webdriver.com,1,25-02-16,58,45,297969,83649 W Belmont Ave,San Gabriel,Jammu and Kashmir,951660
1,Danica,Bruschke,635554,6890005561,bdanica@webdriver.com,0,08-07-19,68,30,3242135,840 15th Ave,Waco,Maharashtra,147049
0,Wilda,Giguere,587056,5238148146,gwilda@webdriver.com,1,27-06-19,63,47,348844,1747 Calle Amanecer #2,Anchorage,Karnataka,413189
0,Elvera,Benimadho,431902,8853350008,belvera@webdriver.com,1,22-03-16,80,49,7032545,99385 Charity St #840,San Jose,Tamil Nadu,116274
0,Carma,Vanheusen,124515,9459164733,vcarma@webdriver.com,1,13-05-19,56,38,775327,68556 Central Hwy,San Leandro,Karnataka,323514
1,Malinda,Hochard,882020,3681054705,hmalinda@webdriver.com,1,11-10-18,78,50,9859959,55 Riverside Ave,Indianapolis,Andhra Pradesh,357987
0,Natalie,Fern,920691,1081351130,fnatalie@webdriver.com,0,31-05-19,68,30,5058372,7140 University Ave,Rock Springs,Tamil Nadu,639282
1,Lisha,Centini,122318,7004977137,clisha@webdriver.com,0,26-03-16,56,36,5330141,64 5th Ave #1153,Mc Lean,Andhra Pradesh,603490
