Blocking_status,Fisrt_name,Last_name,DriverID,Phone_no,Email,Admin_verification,Joining_date,Order_recieved,Order_placed,Total_sales,Distance_travelled,Amount_paid,Driver_address,City,State,Pincode
0,Van,Shire,87900R,8791388950,svan@webdriver.com,0,15-02-17,56,47,92019,2838,10147,90131 J St,Pittstown,Maharashtra,572852
1,Lucina,Lary,48220S,9831042283,llucina@webdriver.com,1,02-06-18,73,31,22538,1241,33189,8597 W National Ave,Cocoa,Maharashtra,259563
0,Bok,Isaacs,91793Z,6722329719,ibok@webdriver.com,0,09-01-17,58,34,70700,1098,44738,6 Gilson St,Bronx,Uttar Pradesh,335017
1,Rolande,Spickerman,56004X,3696908288,srolande@webdriver.com,1,24-11-16,52,29,74396,505,33403,65 W Maple Ave,Pearl City,Jammu and Kashmir,120493
0,Howard,Paulas,47918U,5215275108,phoward@webdriver.com,1,27-07-17,61,33,61177,2930,38995,866 34th Ave,Denver,Maharashtra,980574
0,Kimbery,Madarang,87431X,6012561188,mkimbery@webdriver.com,0,18-02-16,66,30,14811,1914,21484,798 Lund Farm Way,Rockaway,Jharkhand,898103
1,Thurman,Manno,34204W,4099667515,mthurman@webdriver.com,0,10-07-17,64,25,63648,2373,22618,9387 Charcot Ave,Absecon,Punjab,827141
0,Becky,Mirafuentes,10417H,6832976572,mbecky@webdriver.com,0,17-01-17,58,45,25904,1550,41718,30553 Washington Rd,Plainfield,Maharashtra,573657
0,Beatriz,Corrington,26502A,3806494242,cbeatriz@webdriver.com,1,17-12-17,55,42,17518,2650,48808,481 W Lemon St,Middleboro,Uttar Pradesh,700346
0,Marti,Maybury,36005M,7541902283,mmarti@webdriver.com,0,21-04-18,71,38,27968,826,10557,4 Warehouse Point Rd #7,Chicago,West Bengal,526402
1,Nieves,Gotter,19526J,7832388664,gnieves@webdriver.com,1,22-08-17,50,31,31808,2861,48575,4940 Pulaski Park Dr,Portland,Madhya Pradesh,473369
1,Leatha,Hagele,73993F,9215209583,hleatha@webdriver.com,0,01-07-16,68,36,82561,670,29449,627 Walford Ave,Dallas,Madhya Pradesh,789203
1,Valentin,Klimek,89165G,4077721382,kvalentin@webdriver.com,0,26-09-18,69,34,17730,1693,11493,137 Pioneer Way,Chicago,Tamil Nadu,582934
1,Melissa,Wiklund,36491D,9758962530,wmelissa@webdriver.com,0,20-09-18,52,27,62117,1874,15559,61 13 Stoneridge #835,Findlay,Andhra Pradesh,307797
1,Sheridan,Zane,18954U,2429652075,zsheridan@webdriver.com,0,01-05-16,56,40,99086,1435,33606,2409 Alabama Rd,Riverside,Rajasthan,225754
0,Bulah,Padilla,36277O,2376052455,pbulah@webdriver.com,0,31-03-18,50,25,28268,647,16258,8927 Vandever Ave,Waco,Tamil Nadu,342525
1,Audra,Kohnert,89249S,7524830209,kaudra@webdriver.com,0,12-02-16,59,39,69044,2690,34399,134 Lewis Rd,Nashville,Chhattisgarh,219569
0,Daren,Weirather,29714Z,7353469663,wdaren@webdriver.com,1,14-09-16,71,27,90975,1547,16827,9 N College Ave #3,Milwaukee,Rajasthan,547480
1,Fernanda,Jillson,92808E,6182612186,jfernanda@webdriver.com,1,15-06-16,64,47,32259,511,43079,60480 Old Us Highway 51,Preston,Chandigarh,600259
0,Gearldine,Gellinger,20782G,3532237898,ggearldine@webdriver.com,0,20-09-16,52,42,62960,790,17729,4 Bloomfield Ave,Irving,Assam,484861
0,Chau,Kitzman,52415V,5498257222,kchau@webdriver.com,0,21-10-17,61,43,87805,1851,26601,429 Tiger Ln,Beverly Hills,Maharashtra,967318
1,Theola,Frey,21044I,4061836753,ftheola@webdriver.com,0,13-05-17,51,39,63705,1422,12800,54169 N Main St,Massapequa,Karnataka,214930
0,Cheryl,Haroldson,46084R,4467514232,hcheryl@webdriver.com,0,31-12-18,78,47,16768,1813,20692,92 Main St,Atlantic City,Karnataka,299910
1,Laticia,Merced,43594M,1969330092,mlaticia@webdriver.com,1,20-11-18,53,41,37771,2843,48847,72 Mannix Dr,Cincinnati,Tamil Nadu,952701
0,Carissa,Batman,87141V,2715942138,bcarissa@webdriver.com,1,30-03-16,51,29,99942,911,12172,12270 Caton Center Dr,Eugene,Uttar Pradesh,711833
0,Lezlie,Craghead,66671H,1713406708,clezlie@webdriver.com,0,16-07-18,56,31,71625,1373,10402,749 W 18th St #45,Smithfield,Uttar Pradesh,935212
0,Ozell,Shealy,33418W,7516182401,sozell@webdriver.com,0,11-06-18,73,41,50916,1660,12687,8 Industry Ln,New York,Tamil Nadu,566232
1,Arminda,Parvis,98368D,8494881067,parminda@webdriver.com,1,31-08-18,51,30,84600,603,36689,1 Huntwood Ave,Phoenix,Haryana,296836
0,Reita,Leto,52336E,4172080639,lreita@webdriver.com,0,21-08-16,64,48,42058,2272,16032,55262 N French Rd,Indianapolis,Uttar Pradesh,472627
0,Yolando,Luczki,37606M,1897099494,lyolando@webdriver.com,0,18-02-16,78,37,99828,1656,36835,422 E 21st St,Syracuse,Punjab,157123
0,Lizette,Stem,74995G,3305609922,slizette@webdriver.com,0,10-07-17,64,48,12996,1039,37680,501 N 19th Ave,Cherry Hill,Odisha,861386
1,Gregoria,Pawlowicz,72158Z,3082829293,pgregoria@webdriver.com,0,17-04-18,80,34,40476,2640,25275,455 N Main Ave,Garden City,Telangana,298963
1,Carin,Deleo,25120T,2961127189,dcarin@webdriver.com,0,04-05-17,63,35,78773,1824,38910,1844 Southern Blvd,Little Rock,Maharashtra,901385
0,Chantell,Maynerich,86955Z,3708412021,mchantell@webdriver.com,0,30-01-16,53,44,32793,562,23731,2023 Greg St,Saint Paul,Maharashtra,969271
0,Dierdre,Yum,83682V,6830876993,ydierdre@webdriver.com,0,10-03-16,69,31,43898,1162,44514,63381 Jenks Ave,Philadelphia,Andhra Pradesh,294143
1,Larae,Gudroe,64113E,4145734950,glarae@webdriver.com,0,02-03-18,53,45,29279,1001,41356,6651 Municipal Rd,Houma,Kerala,556450
0,Latrice,Tolfree,53108X,3423399204,tlatrice@webdriver.com,1,04-05-16,61,48,63038,2572,21722,81 Norris Ave #525,Ronkonkoma,Maharashtra,600724
0,Kerry,Theodorov,96267V,2064564875,tkerry@webdriver.com,0,14-12-18,63,42,68803,850,13791,6916 W Main St,Sacramento,Uttar Pradesh,666015
1,Dorthy,Hidvegi,57825H,1231126042,hdorthy@webdriver.com,0,12-04-18,62,49,67524,920,19276,9635 S Main St,Boise,Uttar Pradesh,745884
0,Fannie,Lungren,90704F,4971450697,lfannie@webdriver.com,0,29-12-17,68,47,72294,561,32946,17 Us Highway 111,Round Rock,Rajasthan,708541
1,Evangelina,Radde,95845G,7563630699,revangelina@webdriver.com,1,21-04-17,58,39,18606,2569,23772,992 Civic Center Dr,Philadelphia,Maharashtra,265475
0,Novella,Degroot,59646W,1546974493,dnovella@webdriver.com,0,13-02-18,65,39,74351,1780,26625,303 N Radcliffe St,Hilo,Uttar Pradesh,467413
0,Clay,Hoa,12699T,8008357393,hclay@webdriver.com,1,25-03-16,69,48,17095,2178,12916,73 Saint Ann St #86,Reno,Jharkhand,868123
0,Jennifer,Fallick,56814T,9280971509,fjennifer@webdriver.com,0,18-10-17,53,45,37923,1964,16180,44 58th St,Wheeling,Chhattisgarh,974404
1,Irma,Wolfgramm,36737S,7405387190,wirma@webdriver.com,0,08-09-18,54,30,48172,2004,44691,9745 W Main St,Randolph,Odisha,696936
0,Eun,Coody,28862Y,5373839472,ceun@webdriver.com,0,28-02-18,78,40,61429,2346,11788,84 Bloomfield Ave,Spartanburg,Uttar Pradesh,991845
1,Sylvia,Cousey,55376I,7460486335,csylvia@webdriver.com,0,12-11-18,65,35,32847,2902,41095,287 Youngstown Warren Rd,Hampstead,Kerala,736280
1,Nana,Wrinkles,97209F,8427200813,wnana@webdriver.com,0,22-08-16,68,37,31716,2109,46059,6 Van Buren St,Mount Vernon,Andhra Pradesh,241496
1,Layla,Springe,70446J,3732946182,slayla@webdriver.com,0,23-12-18,50,35,22774,1383,29514,229 N Forty Driv,New York,Gujarat,110591
0,Joesph,Degonia,68108I,7752128126,djoesph@webdriver.com,1,26-08-17,65,45,80268,2203,17541,2887 Knowlton St #5435,Berkeley,Uttarakhand,985095
0,Annabelle,Boord,51861U,2423568790,bannabelle@webdriver.com,0,26-09-17,58,28,16623,2276,41929,523 Marquette Ave,Concord,West Bengal,506745
0,Stephaine,Vinning,40317O,2442702177,vstephaine@webdriver.com,0,30-04-17,50,29,23717,2863,17151,3717 Hamann Industrial Pky,San Francisco,West Bengal,502605
1,Nelida,Sawchuk,26122W,5762613625,snelida@webdriver.com,0,27-04-17,71,37,11656,1176,23651,3 State Route 35 S,Paramus,Odisha,157021
1,Marguerita,Hiatt,83907W,1613604606,hmarguerita@webdriver.com,1,02-08-18,53,46,76632,2310,22790,82 N Highway 67,Oakley,Maharashtra,114154
1,Carmela,Cookey,48438P,5293799041,ccarmela@webdriver.com,0,26-02-17,54,42,54133,778,18710,9 Murfreesboro Rd,Chicago,Maharashtra,835169
1,Junita,Brideau,49438V,5519020018,bjunita@webdriver.com,1,11-12-17,74,49,39971,958,49131,6 S Broadway St,Cedar Grove,Rajasthan,936473
0,Claribel,Varriano,79188X,8677159407,vclaribel@webdriver.com,0,10-06-17,71,29,68856,2046,20156,6 Harry L Dr #6327,Perrysburg,Maharashtra,601353
0,Benton,Skursky,42760E,8470325938,sbenton@webdriver.com,1,17-10-16,55,44,85122,1993,11277,47939 Porter Ave,Gardena,Karnataka,362565
1,Hillary,Skulski,93956K,4714503895,shillary@webdriver.com,0,18-02-18,69,36,36602,2912,14847,9 Wales Rd Ne #914,Homosassa,Gujarat,775770
1,Merilyn,Bayless,29898L,2559926484,bmerilyn@webdriver.com,1,18-01-18,53,32,69388,2774,45441,195 13n N,Santa Clara,Madhya Pradesh,854112
1,Teri,Ennaco,75222F,9546312988,eteri@webdriver.com,0,07-03-18,79,37,76770,2799,15738,99 Tank Farm Rd,Hazleton,Uttar Pradesh,297702
1,Merlyn,Lawler,51936W,3058211202,lmerlyn@webdriver.com,1,14-01-16,61,34,65908,2715,25095,4671 Alemany Blvd,Jersey City,West Bengal,110838
0,Georgene,Montezuma,37978X,6391789223,mgeorgene@webdriver.com,1,01-06-16,76,33,20363,2503,23820,98 University Dr,San Ramon,Uttar Pradesh,512811
0,Jettie,Mconnell,53798O,6364821897,mjettie@webdriver.com,1,25-11-17,51,27,94299,2340,41379,50 E Wacker Dr,Bridgewater,Maharashtra,826566
1,Lemuel,Latzke,51597N,9867147774,llemuel@webdriver.com,1,31-05-18,77,28,11271,2491,36325,70 Euclid Ave #722,Bohemia,Jammu and Kashmir,531607
0,Melodie,Knipp,22425K,8817576518,kmelodie@webdriver.com,0,25-01-17,59,31,49146,2100,18654,326 E Main St #6496,Thousand Oaks,Maharashtra,463294
0,Candida,Corbley,79115G,5375794153,ccandida@webdriver.com,1,29-01-16,54,46,19269,766,20374,406 Main St,Somerville,Karnataka,308796
0,Karan,Karpin,51174T,2026583856,kkaran@webdriver.com,0,18-01-16,52,41,60983,2561,46846,3 Elmwood Dr,Beaverton,Tamil Nadu,744455
1,Andra,Scheyer,41058H,7060629138,sandra@webdriver.com,1,18-08-16,61,27,24836,728,12073,9 Church St,Salem,Karnataka,126280
0,Felicidad,Poullion,16670U,8164041997,pfelicidad@webdriver.com,1,21-04-17,73,49,11631,2713,21815,9939 N 14th St,Riverton,Andhra Pradesh,719196
0,Belen,Strassner,91471C,1169686850,sbelen@webdriver.com,1,28-12-16,66,27,61267,1937,11790,5384 Southwyck Blvd,Douglasville,Tamil Nadu,828405
1,Gracia,Melnyk,12364F,9853481887,mgracia@webdriver.com,1,21-10-17,56,26,86851,2045,32659,97 Airport Loop Dr,Jacksonville,Andhra Pradesh,124344
0,Jolanda,Hanafan,25765F,5315813860,hjolanda@webdriver.com,1,10-05-17,75,37,60550,1545,12161,37855 Nolan Rd,Bangor,Delhi,791564
